MSOA,population,males,females,children,youth,elderly
E02000001,8589,4717,3862,214,1182,1663
E02000002,8284,3921,4368,654,1027,1241
E02000003,11542,5707,5832,951,1452,1823
E02000004,6639,3242,3394,394,815,1394
E02000005,11079,5404,5681,976,1355,1264
E02000007,10159,4808,5352,749,1328,1380
E02000008,13251,6406,6858,896,1606,1780
E02000009,12869,6305,6563,1026,1817,1327
E02000010,9484,4513,4972,684,1245,1262
E02000011,7029,3428,3608,510,917,1181
E02000012,11515,5735,5764,745,1789,1669
E02000013,9400,4527,4873,698,1194,1321
E02000014,9866,4743,5124,673,1238,1473
E02000015,8230,3956,4269,680,999,1057
E02000016,10562,5225,5345,1019,1279,665
E02000017,9130,4714,4417,664,1263,1157
E02000018,9553,4651,4903,761,1232,1183
E02000019,9666,4653,5012,828,1230,1205
E02000020,14058,6945,7113,1291,1739,1401
E02000021,8764,4264,4493,628,1145,1239
E02000022,7743,3776,3963,837,983,464
E02000023,8019,3841,4179,671,1134,643
E02000024,10838,5209,5628,564,1079,2858
E02000025,8579,4079,4501,498,815,1875
E02000026,6457,3135,3333,410,627,1673
E02000027,9649,4609,5041,535,1148,2036
E02000028,6539,3192,3343,380,643,1436
E02000029,9676,4747,4924,746,1153,1627
E02000030,9454,4599,4856,432,1016,2666
E02000031,8332,3948,4379,496,715,2057
E02000032,7938,3906,4029,304,889,2010
E02000033,8888,4291,4599,458,980,1878
E02000034,9089,4328,4757,522,931,1934
E02000035,8532,4128,4400,453,735,1922
E02000036,11246,5493,5746,711,1262,2254
E02000037,10835,5250,5588,708,1249,2361
E02000038,10724,5175,5541,535,1155,2246
E02000039,7165,3495,3676,482,813,1571
E02000040,9143,4396,4745,586,1097,1736
E02000041,9461,4554,4897,558,1115,1906
E02000042,11559,5664,5885,663,1119,2242
E02000043,7572,3679,3888,445,687,1661
E02000044,8841,4247,4596,562,1112,1337
E02000045,10522,5017,5507,620,1159,1763
E02000046,6962,3357,3608,455,595,1207
